word,doc01.txt,doc02.txt,doc03.txt,doc04.txt,doc05.txt,doc06.txt,doc07.txt,doc08.txt,doc09.txt,doc10.txt,doc11.txt,doc12.txt,doc13.txt,doc14.txt,doc15.txt,doc16.txt,doc17.txt,doc18.txt,doc19.txt,doc20.txt
some,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
of,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
smartest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dummies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
can't,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
read,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
language,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
egyptian,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mummies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
fly,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
moon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
find,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
food,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1
starving,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tummies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mind,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
youths,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cause,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
it's,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
not,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
like,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
future,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
depends,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
on,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0
it,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0
but,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
save,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
animals,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1
zoo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chimpanzee,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dem,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
make,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
money,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
this,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0
is,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
how,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
media,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pillages,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
picture,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
savages,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
villages,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scientist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
still,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
explain,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pyramids,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
huh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evangelists,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
making,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
living,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
videos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ribs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
little,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kids,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
